strain_id	isolate_id
1b5bccbe-820e-41fc-b81d-3c99b730c742_lineage4.1.2.1_strain1	SRR11033655
1b71181c-a0a4-471e-a9a7-7ab08c6c21e8_lineage4.1.2.1_strain1	SRR7592346
1bb46936-88a4-4b23-b888-91dc401893eb_lineage4.1.2.1_strain1	SRR3544731
1edecb9e-f04c-480e-96dc-2f353fb36979_lineage4.1.2.1_strain1	SRR16088385
1fac5035-3823-4a34-97e7-3bdbf53625b3_lineage4.1.2.1_strain1	SRR9738510
2284da45-ad22-4479-90f0-aec6ae424793_lineage4.1.2.1_strain1	SRR10379924
24724dd5-461e-4525-b83b-dfff2b3af4b9_lineage4.1.2.1_strain1	SRR9738518
24836bad-6a0c-4966-8647-b4fb1c4ad5cd_lineage4.1.2_strain1	SRR16088082
25134368-61c7-404e-90eb-710542198d74_lineage4.1.2.1_strain1	SRR10525334
258ddae6-b06e-4f81-9fa1-1e8453203bb4_lineage4.1.2.1_strain1	SRR16088573
26d89158-8592-4ece-8037-545de984df48_lineage4.1.2.1_strain1	SRR10380200
2d0ee83a-0fd8-4a05-99b7-1ca102af9921_lineage4.1.2.1_strain1	SRR10380225
2d7cb54c-02ba-4834-adde-cefa06acbf5e_lineage4.1.2.1_strain1	SRR10525361
2de65ec1-df90-40fb-91bf-f6302c3b6907_lineage4.1.2.1_strain1	SRR3743199
2e772f1f-aa47-4742-a4da-973bd57b1346_lineage4.1.2.1_strain1	SRR7592381
301c6beb-76b6-4f90-b3e7-59c5ea36363b_lineage4.1.2.1_strain1	SRR7516407
31ba316f-9e1f-4bc1-bf3c-94bc28514c66_lineage4.1.2.1_strain1	SRR16088025
32419571-eef5-44cc-a1a8-6da1971fbf8c_lineage4.1.2.1_strain1	SRR7592362
33a93b29-e39a-45bc-a8d7-06ab594c5ded_lineage4.1.2.1_strain1	SRR1159299
34fd3181-dfbf-4c66-aa04-90fd8e45a0aa_lineage4.1.2.1_strain1	SRR7592374
38a875c0-e3d5-49e7-81df-522bce619769_lineage4.1.2.1_strain1	SRR16087926
3bb853ae-9e11-46d8-85af-46be19b4f6dc_lineage4.1.2.1_strain1	SRR16088584
3c06f622-641c-44be-874d-57cb6a5498c4_lineage4.1.2.1_strain1	SRR3544752
3c71373e-5e31-4aed-9149-05107df8771b_lineage4.1.2.1_strain1	SRR16088570
4240fee9-d303-444e-8580-d0bd1116f6cd_lineage4.1.2.1_strain1	SRR3544744
43cd0227-e18e-47c2-bca2-baed071a1b50_lineage4.1.2.1_strain1	SRR9738552
44b6532e-b236-4aac-8f17-1b3470acb8e6_lineage4.1.2.1_strain1	SRR16088099
45c2594e-32b8-4304-a42d-6e38a0687db1_lineage4.1.2_strain1	SRR16088256
47cdc4cd-5499-4a83-89b1-1aeb77379b92_lineage4.1_strain1	SRR16088514
4881d008-6e44-4121-8702-d2556e587f9d_lineage4.1.2.1_strain1	SRR3743463
4a2e8a6e-0692-4fc1-a444-6a25212f6df5_lineage4.1.2.1_strain1	SRR16088484
4afac28e-0e96-41f4-8fcd-3909b2b1ee82_lineage4.1.2.1_strain1	SRR16088077
4ce87844-b847-45b9-b0e5-275ffbcc548a_lineage4.1.2.1_strain1	SRR5486878
4e58fa29-74e9-45ca-9c5c-b730d46c2519_lineage4.1.2.1_strain1	SRR16088160
4e7de945-64b8-4ea9-918f-deb383a565eb_lineage4.1.2.1_strain1	SRR7592340
4ff88f15-d987-4580-a137-e35ff46bb306_lineage4.1.2.1_strain1	SRR11033606
50bf763b-0bfa-420b-9ebb-e1d51befd17d_lineage4.1.2.1_strain1	SRR7592330
5178d0b7-d49c-4b65-86ff-96420dad2819_lineage4.1.2.1_strain1	SRR3743374
51b3ead7-eb9d-4cd5-98a1-2e0f1afeb5cf_lineage4.1.2.1_strain1	SRR11033771
52b1d593-dae1-42d9-b738-d348132e1c87_lineage4.1.2_strain1	SRR16088189
56afcff7-2b05-47a0-bc78-ad4e8bbab9dc_lineage4.1.2_strain1	SRR10379938
5748158e-9f8d-40db-ba0b-68adbd5c2472_lineage4.1.2.1_strain1	SRR10525356
58dd0f9f-e5c9-4453-bebe-63a8bba93358_lineage4.1.2.1_strain1	SRR5486869
58e75162-4b7b-454e-be4e-43533525fa8a_lineage4.1_strain1	SRR10379936
597518e9-7e62-4ee1-be50-00781115ca5f_lineage4.1.2.1_strain1	SRR5486872
5c1635aa-00d9-4e64-aefb-9b98804ed26a_lineage4.1.2.1_strain1	SRR16088367
5d192d28-c7e8-4fc0-8fb2-6f60149f3bd0_lineage4.1.2.1_strain1	SRR7592328
5ddabda0-aa03-4e07-8259-92ea5374758e_lineage4.1.2.1_strain1	SRR5153240
5ed6052b-da9d-4b08-b81f-654355017583_lineage4.1.2.1_strain1	SRR10525339
5edd7751-2971-488c-95f3-d45038677cf9_lineage4.1.2.1_strain1	SRR9738527
5efab616-2cb3-45ec-afd8-cb278285c980_lineage4.1.2.1_strain1	SRR7592336
5fdb9a15-7f04-42b4-ae31-0ac34b66d4f2_lineage4.1.2.1_strain1	SRR9738553
64d04f86-2a06-4c94-be91-8c5b9c211a00_lineage4.1.2.1_strain1	SRR16087982
662f463d-dd80-46bb-9dbd-1fb8604386ad_lineage4.1.2.1_strain1	SRR16088006
67438f20-1b8b-425e-8980-e69e89ff44b5_lineage4.1.2.1_strain1	SRR5486866
686b3e88-c706-4b84-b3f2-aba17121057e_lineage4.1.2.1_strain1	SRR10525351
68cfe028-33de-4825-9c57-45f3341a5bc2_lineage4.1.2.1_strain1	SRR5486871
6d74050f-cc3a-4f6c-a378-4bc1b3d15647_lineage4.1.2.1_strain1	SRR5486898
6dfde449-fc03-4a97-bcf0-2e636686f856_lineage4.1.2.1_strain1	SRR9738547
702b567f-6e75-4f85-a85d-a97e96625e76_lineage4.1.2.1_strain1	SRR5486881
716eae9f-a37c-4606-9eb2-51e200a4b49e_lineage4.1.2_strain1	SRR7655783
73953f03-76b3-4ec6-bfca-c87f9ed06711_lineage4.1.2.1_strain1	SRR7516357
75b80ee4-7abd-4958-a15a-c063f81a9686_lineage4.1.2.1_strain1	SRR10379962
7625cda6-8de3-4991-8995-a1fd7736cfad_lineage4.1.2.1_strain1	SRR16088192
77cf648a-9f19-4e0a-9cd6-1c4053f3d56c_lineage4.1.2.1_strain1	SRR10525369
789de4f4-febc-4abf-a62f-fdee1fa79375_lineage4.1.2.1_strain1	SRR16088440
78a9cc99-2edf-4315-bb8b-8facf51de8c4_lineage4.1.2.1_strain1	SRR7592367
7ac0fea9-f5b2-482d-86a0-0ec5467afbea_lineage4.1_strain1	SRR5153266
7ae53461-02c3-424e-bb1c-e5a10747a7e1_lineage4.1.2.1_strain1	SRR7592388
7c96639f-925e-465b-af99-cd5d5ca71f9a_lineage4.1.2.1_strain1	SRR9738545
80138e6c-180b-42b0-8ff0-50b84bf39421_lineage4.1.2.1_strain1	SRR5486882
83119143-7d6e-491d-8ec3-2e5121011510_lineage4.1.2_strain1	SRR16088317
853a3285-9792-4f6f-a273-2cc816760dfb_lineage4.1.2.1_strain1	SRR11033707
85a7abfb-641f-47ca-90d4-e22a615076e9_lineage4.1.2.1_strain1	SRR16087928
87f3dda1-c6db-4da3-a483-c3dbe63988ab_lineage4.1.2.1_strain1	SRR10525370
8d9b8768-0fa6-4d81-8ead-be0c5c021e62_lineage4.1.2.1_strain1	SRR16088078
8e4e38cd-50e1-4c46-a193-fe6c193b9718_lineage4.1.2.1_strain1	SRR9738526
8fc2ff48-8480-4630-8552-cd34f5b55770_lineage4.1.2.1_strain1	SRR13232606
9004a001-df8f-4bf8-afbb-f09ffdbd8410_lineage4.1.2.1_strain1	SRR7516353
9320edba-847e-4872-a595-388adbf480fa_lineage4.1.2.1_strain1	SRR7592363
971c6d73-e10c-4953-b932-51a2eb009a7a_lineage4.1.2.1_strain1	SRR10525367
978ec6ca-c191-4df4-a6a6-c5d662f66fa4_lineage4.1.2.1_strain1	SRR11033672
9b07e440-727d-4304-a13a-2188f240e0af_lineage4.1.2.1_strain1	SRR7592348
9b82f0d7-e0c2-4dba-b491-2283c1bca80f_lineage4.1.2.1_strain1	SRR10525360
9ca4f230-9f13-4774-96bf-c9ebb3b9fe16_lineage4.1.2.1_strain1	SRR10525333
9fea4886-7b42-4528-ab5b-3d5895fa282e_lineage4.1.2.1_strain1	SRR5486884
a054494f-2a9f-408a-ba73-5de21e4bbc62_lineage4.1.2.1_strain1	SRR9738491
a18028a6-0a3f-483d-bfa1-f35c8497a3ad_lineage4.1.2.1_strain1	SRR3544736
a1e13b2d-8269-44fe-b0dd-02ddb89ee852_lineage4.1.2.1_strain1	SRR5486899
a4cea97e-e5fa-48a9-bbcb-e4026aff4350_lineage4.1.2.1_strain1	SRR5486902
a56e79f6-9ba6-43e0-a8c6-6b6c68f563a0_lineage4.1.2.1_strain1	SRR5486895
a596cde9-bacf-4bac-8110-abad860214f0_lineage4.1.2.1_strain1	SRR10525323
a697c229-2df9-4406-b81e-4a8ef4eea454_lineage4.1.2_strain1	SRR16088004
a8128aa5-6273-4213-85ca-b6370d0b160f_lineage4.1.2.1_strain1	SRR11033595
aab96fed-0e63-4835-9fab-3f24c06ee53e_lineage4.1.2.1_strain1	SRR10379888
aaf28763-e849-4be3-b5a8-10c5179dfcb6_lineage4.1.2.1_strain1	SRR10525362
acccad24-afdf-450e-91c6-416af2201cec_lineage4.1.2.1_strain1	SRR9738509
aef92be9-f211-42fb-bd54-6ee7c0f69afa_lineage4.1.2.1_strain1	SRR10525347
af80036c-278a-4431-b9a1-ed264949e1c1_lineage4.1.2.1_strain1	SRR1159245
b0501c6f-ddbd-4e32-b723-3d7c8bae4bf9_lineage4.1_strain1	SRR10380082
b23ad151-0c38-4581-ac93-1b60a376ac0c_lineage4.1.2.1_strain1	SRR16088453
b4ef8b55-5d2c-4862-86cd-fb8e5e79e125_lineage4.1.2.1_strain1	SRR10397269
b632f8bf-b762-4568-add5-70d21ecf35c7_lineage4.1.2.1_strain1	SRR1163016
b67f11cc-5874-47b6-bd10-ae6398b362b4_lineage4.1.2.1_strain1	SRR9738501
b721056c-9251-4347-96dc-bed4b64c6af0_lineage4.1_strain1	SRR9738511
bac91d9b-8771-4439-9e8f-357cec1766bd_lineage4.1.2.1_strain1	SRR10380049
bba2423b-c6c4-4d26-ba78-2149a7303e2e_lineage4.1.2.1_strain1	SRR5486894
bdd7b913-bb8e-4c4c-8738-b61df3746607_lineage4.1_strain1	SRR16088291
be0f4146-4e0b-4682-af04-edb1df97152f_lineage4.1.2.1_strain1	SRR9738523
be85b84b-bdc9-42cd-b8bc-9d871e4062cb_lineage4.1.2.1_strain1	SRR11033733
bec07fab-021d-40fc-bb16-d918ecd6e8c7_lineage4.1.2.1_strain1	SRR9738502
c113901c-648d-4a96-b0de-8d1a7ba10f73_lineage4.1.2.1_strain1	SRR16088298
c200330b-5943-47df-8310-5d406255012f_lineage4.1.2.1_strain1	SRR16088243
c38e9fc2-ae8e-4cb4-9583-d1714baa1cf3_lineage4.1_strain1	SRR10397114
c4653230-81b5-4349-8090-8dbea28398ac_lineage4.1.2.1_strain1	SRR16088473
c6a5a722-0e69-44aa-8b61-d420d1f0a270_lineage4.1.2.1_strain1	SRR9738483
c7500e59-35a7-4111-b281-592285211aef_lineage4.1.2.1_strain1	SRR7592333
c7c3b654-1e44-4582-acd2-d46c62741249_lineage4.1.2.1_strain1	SRR7592382
c8e88a1a-75f6-47c8-b142-056f5161141c_lineage4.1.2.1_strain1	SRR10525344
cb5bd14c-2f3b-485c-b362-15bc06e7a18e_lineage4.1.2.1_strain1	SRR16088591
cba48cf1-ead5-4c69-a742-1fc16f62ca7c_lineage4.1.2.1_strain1	SRR10525345
ce48d00d-63c0-4cf3-8dde-a6c7bf069123_lineage4.1.2.1_strain1	SRR16088491
chen2020_5babe214_lineage4.1.2.1_strain1	SRR11567791
chen2020_839f0a92_lineage4.1.2.1_strain1	SRR8651650
clark2013_A70086_lineage4.1.1.3_strain1	ERR040115
clark2013_A70458_lineage4.1.1.3_strain1	ERR040137
cox2021_-1228181591789141138_lineage4.1.1.1_strain1	ERR6362791
cox2021_-137299595861600968_lineage4.1.1.3_strain1	ERR6362206
cox2021_-1441157444766926509_lineage4.1.1.3_strain1	ERR6052041
cox2021_-1498296384398048097_lineage4.1.1.1_strain1	ERR6362863
cox2021_-1508241072956727980_lineage4.1.1.3_strain1	ERR6362642
cox2021_-1547732087531180938_lineage4.1.1.3_strain1	ERR6362260
cox2021_-1677406879652548026_lineage4.1.1.1_strain1	ERR6362748
cox2021_-1685170039621758206_lineage4.1.1.3_strain1	ERR6362097
cox2021_-1816125815223119222_lineage4.1.1.3_strain1	ERR6362677
cox2021_-233281294097749768_lineage4.1.1.3_strain1	ERR6362126
cox2021_-2789494045411232158_lineage4.1.1.3_strain1	ERR6362578
cox2021_-3058431573594300894_lineage4.1.1.3_strain1	ERR6362247
cox2021_-3090118776408856306_lineage4.1.1.1_strain1	ERR6361989
cox2021_-3382658098846262336_lineage4.1.2.1_strain1	ERR6362535
cox2021_-3398675212402269643_lineage4.1.1.3_strain1	ERR6362030
cox2021_-3535895014907303153_lineage4.1.1.3_strain1	ERR6362194
cox2021_-3776142688079749658_lineage4.1.1.3_strain1	ERR6052035
cox2021_-3827543649961687334_lineage4.1.1.3_strain1	ERR6362418
cox2021_-3962183145657889867_lineage4.1.2_strain1	ERR6362293
cox2021_-4236691438975639457_lineage4.1.1.3_strain1	ERR6362741
cox2021_-4321004561157516073_lineage4.1.1.3_strain1	ERR6362916
cox2021_-4394495288400071209_lineage4.1.1.3_strain1	ERR6362626
cox2021_-4478893165965049559_lineage4.1.1.1_strain1	ERR6362085
cox2021_-4846817339399256261_lineage4.1.1.3_strain1	ERR6362164
cox2021_-525716128422258367_lineage4.1.1.3_strain1	ERR6362226
cox2021_-5364485559015364044_lineage4.1.1.3_strain1	ERR6362565
cox2021_-5502611109103367716_lineage4.1.1.3_strain1	ERR6362584
cox2021_-5705604655408338584_lineage4.1.1.3_strain1	ERR6362867
cox2021_-5744080309475867061_lineage4.1.1.3_strain1	ERR5987244
cox2021_-5849760516795913487_lineage4.1.2.1_strain1	ERR6362018
cox2021_-5891989050929989076_lineage4.1.1.3_strain1	ERR6362091
cox2021_-5894158729596871201_lineage4.1.1.3_strain1	ERR6362016
cox2021_-5962145352266403174_lineage4.1.1.3_strain1	ERR6362393
cox2021_-6080231243419280963_lineage4.1.1.2_strain1	ERR6362337
cox2021_-617465230418679458_lineage4.1.2_strain1	ERR6362561
cox2021_-6196738756207407280_lineage4.1.1.3_strain1	ERR6362864
cox2021_-6324215184034346186_lineage4.1.2.1_strain1	ERR6362161
cox2021_-6363871044646082962_lineage4.1.1.3_strain1	ERR6362620
cox2021_-6594030459446494520_lineage4.1.1.3_strain1	ERR6361982
cox2021_-6631166181231884741_lineage4.1.1.3_strain1	ERR6362474
cox2021_-6745199703711753611_lineage4.1.1.3_strain1	ERR6362667
cox2021_-6827297279682800917_lineage4.1.1.3_strain1	ERR6362133
cox2021_-6993156957706667958_lineage4.1.1.1_strain1	ERR5987384
cox2021_-7426002073436346964_lineage4.1.1.3_strain1	ERR6362310
cox2021_-7471595162808244916_lineage4.1.1.3_strain1	ERR6362052
cox2021_-7486644483056287816_lineage4.1.1.3_strain1	ERR6362551
cox2021_-7650204413677563392_lineage4.1.1.3_strain1	ERR6362029
cox2021_-7716610247580482477_lineage4.1.2.1_strain1	ERR6361959
cox2021_-8104941463090105013_lineage4.1.1.1_strain1	ERR6362252
cox2021_-8184605537483409254_lineage4.1.1.3_strain1	ERR6362496
cox2021_-830007721856839508_lineage4.1.1.3_strain1	ERR6362632
cox2021_-8371950905904677149_lineage4.1.2_strain1	ERR6362710
cox2021_-8457946437494833994_lineage4.1.1.3_strain1	ERR6362759
cox2021_-8613927455750345073_lineage4.1.2_strain1	ERR6362112
cox2021_-8842838428742678086_lineage4.1.1.3_strain1	ERR6362382
cox2021_-8878927430647994944_lineage4.1.1.3_strain1	ERR6362798
cox2021_-8943928722583741236_lineage4.1.2.1_strain1	ERR6362089
cox2021_-8990476810844648763_lineage4.1.1.3_strain1	ERR6362107
cox2021_-9184007256361797547_lineage4.1.1.1_strain1	ERR6362606
cox2021_-9214706396364775895_lineage4.1.1.3_strain1	ERR5987338
cox2021_-988914885933574259_lineage4.1.1.3_strain1	ERR6362307
cox2021_-995341390859303034_lineage4.1.1.3_strain1	ERR6362894
cox2021_1211537524565135605_lineage4.1.1.3_strain1	ERR6362950
cox2021_122866072998791461_lineage4.1.1.3_strain1	ERR6362929
cox2021_1595278500395596161_lineage4.1.2.1_strain1	ERR6362362
cox2021_1605412963813849305_lineage4.1.2_strain1	ERR5987460
cox2021_1694113078771459876_lineage4.1.1.3_strain1	ERR6361956
cox2021_2180904234992355586_lineage4.1.1.3_strain1	ERR6362899
cox2021_2251577385055789863_lineage4.1.1.3_strain1	ERR6362080
cox2021_2358755608222768705_lineage4.1.1.3_strain1	ERR6362585
cox2021_239531297483565082_lineage4.1.1.3_strain1	ERR6361973
cox2021_2721812888782409201_lineage4.1.1.3_strain1	ERR6362784
cox2021_2727411145244008241_lineage4.1.1.3_strain1	ERR6362240
cox2021_2739730397372932274_lineage4.1.2.1_strain1	ERR6362740
cox2021_3138829508470705833_lineage4.1.1.3_strain1	ERR6362818
cox2021_3190603762531185712_lineage4.1.1.3_strain1	ERR6362595
cox2021_4172792785690785064_lineage4.1.1.3_strain1	ERR6362597
cox2021_4276983915293159476_lineage4.1.1.3_strain1	ERR6362355
cox2021_4487448099883258339_lineage4.1.1.3_strain1	ERR6362757
cox2021_4543793814065011494_lineage4.1.2.1_strain1	ERR5987408
cox2021_4600532190718948788_lineage4.1.1.3_strain1	ERR6362043
cox2021_4773769714774234657_lineage4.1.1.3_strain1	ERR6362486
cox2021_4902131478670524901_lineage4.1.2.1_strain1	ERR6362566
cox2021_4982377841561536015_lineage4.1.1.3_strain1	ERR5987294
cox2021_5032836988719092364_lineage4.1.2.1_strain1	ERR6362723
cox2021_5055082554951186929_lineage4.1.1.3_strain1	ERR6362291
cox2021_5205725662847975160_lineage4.1.1.3_strain1	ERR6362932
cox2021_5235366593620404792_lineage4.1.1.3_strain1	ERR6362181
cox2021_5431962195173380055_lineage4.1.1.3_strain1	ERR5987445
cox2021_5495490603847053019_lineage4.1.1.3_strain1	ERR6362896
cox2021_5960426120934275527_lineage4.1.1.3_strain1	ERR6362324
cox2021_6330831656713485045_lineage4.1.1.3_strain1	ERR6362370
cox2021_6498908634005411845_lineage4.1.1.1_strain1	ERR5987431
cox2021_6893422342090427161_lineage4.1.1.3_strain1	ERR6362026
cox2021_7001840755576127858_lineage4.1.1.3_strain1	ERR6362332
cox2021_7109831771194819724_lineage4.1.1.3_strain1	ERR6362024
cox2021_7287004221682791548_lineage4.1.2.1_strain1	ERR6362617
cox2021_7290856960003772821_lineage4.1.1.1_strain1	ERR6362111
cox2021_7463431336350679888_lineage4.1.1.3_strain1	ERR5987228
cox2021_7591641900727316745_lineage4.1.1.3_strain1	ERR6362943
cox2021_8056635303992657895_lineage4.1.1.3_strain1	ERR5987235
cox2021_8188609599377003203_lineage4.1.1.3_strain1	ERR6362778
cox2021_8337787710098894618_lineage4.1.2_strain1	ERR5987278
cox2021_835645351603964788_lineage4.1.1.3_strain1	ERR5987362
cox2021_8366753417800714121_lineage4.1.1.1_strain1	ERR6362524
cox2021_8715845515432242150_lineage4.1.1.3_strain1	ERR6362615
cox2021_8974837622313536704_lineage4.1.1.1_strain1	ERR6362913
cox2021_9028254679973859446_lineage4.1.1_strain1	ERR6362716
cox2021_9175083576240446840_lineage4.1.2.1_strain1	ERR6362480
d077e557-07f4-4d3e-b182-824b838c283d_lineage4.1_strain1	SRR3544723
d537cccd-4359-4bb3-9793-939ae2645c7d_lineage4.1.4_strain1	SRR7592355
d5720ce4-73fd-4944-8324-7da7b36027b2_lineage4.1.2.1_strain1	SRR9738529
d5ee714f-dd68-4276-a9bf-d94b412f8174_lineage4.1_strain1	SRR16088273
d753d4bb-0d5d-4e7b-9323-d92803ca0c77_lineage4.1.2.1_strain1	SRR3743493
d771aa66-8c6f-43df-aa55-4697cfe4e2d1_lineage4.1.2.1_strain1	SRR10525355
d8514e22-6baa-46c0-9065-815714ff4065_lineage4.1.2.1_strain1	SRR5153717
dc74f478-c134-4df4-8ea2-797e89b65bca_lineage4.1.2.1_strain1	SRR9738549
dc85e5dd-fc99-46d8-b0d8-6b8a57cecd7f_lineage4.1.2.1_strain1	SRR10525320
dee3d045-c42b-473b-91a4-d4de0f5595c8_lineage4.1.2.1_strain1	SRR10525363
dippenaara2019_23_lineage4.1.1.3_strain1	ERR3340700
dippenaara2019_9_lineage4.1.1.3_strain1	ERR3340739
e0687ff7-a84f-417b-9263-cdf4f4d8b2e3_lineage4.1.2.1_strain1	SRR10380230
e1077395-0526-4c64-8ecc-262789435b08_lineage4.1.2.1_strain1	SRR9738479
e166b7a6-b453-4b84-bbd9-2bec7ebb44b2_lineage4.1.2.1_strain1	SRR7592324
e29ff8db-e10f-4a2a-aa43-bf9d5b3056ce_lineage4.1.2.1_strain1	SRR9738539
e43b1b24-78a9-491e-9cca-7ca845f2eb81_lineage4.1.2.1_strain1	SRR16088479
e4fd10f2-b1d2-4d9c-9695-5b28a973c604_lineage4.1.2.1_strain1	SRR16087965
e525c9f1-b76e-4186-8141-87b162c3cbaf_lineage4.1.2.1_strain1	SRR10525318
e7084fa6-2d60-43d9-a2a7-7179692bd3ae_lineage4.1.2.1_strain1	SRR16088386
ec2e5670-c7b5-4c12-8150-3ce28c0a520d_lineage4.1.2.1_strain1	SRR7592338
ecf58037-5c02-45d9-8063-ba2dba36ecaa_lineage4.1.2.1_strain1	SRR10379937
ed19607f-2c0c-4590-9a3c-bcfdb4fbf36f_lineage4.1.2.1_strain1	SRR7592360
efdf2b32-9539-43ea-9e6a-4e41ad9c221c_lineage4.1.2.1_strain1	SRR16088086
f189cbb9-d06b-4199-97c7-fafc47534fb4_lineage4.1.2.1_strain1	SRR5486887
f278ab41-ca46-47a7-ac27-885859bb99ec_lineage4.1.2.1_strain1	SRR5486901
f44a96e1-e111-469a-bec7-be5d970204d1_lineage4.1.2.1_strain1	SRR9738535
f62093b1-74ba-4c91-905f-a147df5fcdf2_lineage4.1.2.1_strain1	SRR9738548
f7699051-dec7-4ad4-81a0-88e48c36b4b1_lineage4.1.2.1_strain1	SRR16087991
f9cde18a-b6d3-49f9-bd69-d6c1be1059d0_lineage4.1.2.1_strain1	SRR10380134
fa054084-b1c0-4bfc-9a3f-5734502d2755_lineage4.1.2.1_strain1	SRR7592349
fb7870d2-addf-4271-8a4d-25686fbe1901_lineage4.1.2.1_strain1	SRR11033628
fe627631-3640-4828-946c-fc5610c698de_lineage4.1.2_strain1	SRR16088522
fe6d6914-6647-42fa-9f31-df037d9a7f58_lineage4.1.2.1_strain1	SRR9738476
fe8d6e0c-1755-428a-aff4-31c606eb94ea_lineage4.1.2.1_strain1	SRR5486890
ffbb56fa-53d3-4707-a34e-7f4d6be9c9c0_lineage4.1.2.1_strain1	SRR16087979
ffdf3b67-bba2-4d0b-937d-fae6b75d4f63_lineage4.1.2.1_strain1	SRR10380054
guerra2014_KPS_18_lineage4.1.2_strain1	ERR181818
guerra2014_KPS_33_lineage4.1.2.1_strain1	ERR176530
guerra2014_KPS_40_lineage4.1.1.3_strain1	ERR181742
ley2021_P14_lineage4.1.1.3_strain1	ERR4896323
ley2021_P27_lineage4.1.1.3_strain1	ERR4896315
nimmo2020_H0075_lineage4.1.1.3_strain1	SRR9971361
nimmo2020_H0116_lineage4.1.1.3_strain1	SRR9971181
nimmo2020_H0160_lineage4.1.1.1_strain1	SRR9971226
nimmo2020_H0191_lineage4.1.1.2_strain1	SRR10315621
nimmo2020_H0195_lineage4.1.1.3_strain1	SRR10315587
nimmo2020_H0205_lineage4.1.2.1_strain1	SRR11349136
nimmo2020_K0011_lineage4.1.1.1_strain1	SRR9971172
nimmo2020_K0030_lineage4.1.1.1_strain1	SRR9971091
nimmo2020_K0101_lineage4.1.2.1_strain1	SRR9971165
nimmo2020_K0106_lineage4.1.1.3_strain1	SRR10315638
nimmo2020_P0060_lineage4.1.1.3_strain1	SRR9971237
nimmo2020_P0062_lineage4.1.2.1_strain1	SRR9971236
nimmo2020_P0141_lineage4.1.2.1_strain1	SRR9971000
nimmo2020_P0173_lineage4.1.1.3_strain1	SRR9971378
nimmo2020_P3026_lineage4.1.1.3_strain1	SRR9971050
nimmo2020_P3417_lineage4.1.1.3_strain1	SRR9971331
nimmo2020_P3521_lineage4.1.2.1_strain1	SRR9971281
nimmo2020_R0022_lineage4.1.2_strain1	SRR9971293
nimmo2020_R0062_lineage4.1.2.1_strain1	SRR9971071
nimmo2020_R0077_lineage4.1.2.1_strain1	SRR9971389
perez-lago2021_4_lineage4.1.2.1.1_strain1	ERR4972569
UNKNOWN1_lineage4.1.2.1_strain1	ERR2791531
UNKNOWN11_lineage4.1.2.1_strain1	ERR2791533
UNKNOWN12_lineage4.1.2.1_strain1	ERR2791534
UNKNOWN13_lineage4.1.2.1_strain1	ERR2791535
UNKNOWN14_lineage4.1.2.1_strain1	ERR2791536
UNKNOWN16_lineage4.1.2_strain1	ERR2791538
UNKNOWN19_lineage4.1.2.1_strain1	ERR2791541
UNKNOWN2_lineage4.1.2.1_strain1	ERR2791542
UNKNOWN20_lineage4.1.2.1_strain1	ERR2791543
UNKNOWN22_lineage4.1.2.1_strain1	ERR2791545
UNKNOWN25_lineage4.1.2.1_strain1	ERR2791548
UNKNOWN29_lineage4.1.2.1_strain1	ERR2791552
UNKNOWN30_lineage4.1.2.1_strain1	ERR2791554
UNKNOWN31_lineage4.1.2.1_strain1	ERR2791555
UNKNOWN32_lineage4.1.2.1_strain1	ERR2791556
UNKNOWN34_lineage4.1.2_strain1	ERR2791558
UNKNOWN4_lineage4.1.2.1_strain1	ERR2791561
UNKNOWN7_lineage4.1.2.1_strain1	ERR2791564
UNKNOWN8857_lineage4.1.2.1_strain1	ERR4553529
UNKNOWN8980_lineage4.1.1.3_strain1	ERR4553680
UNKNOWN8982_lineage4.1.1.1_strain1	ERR4553683
UNKNOWN9135_lineage4.1.1.1_strain1	ERR4553848
UNKNOWN9174_lineage4.1.1.1_strain1	ERR4553913
UNKNOWN9191_lineage4.1.1.1_strain1	ERR4553949
UNKNOWN9194_lineage4.1.1.1_strain1	ERR4553955
walker2013_P000021_lineage4.1.1_strain1	ERR038278
walker2013_P000036_lineage4.1.2.1_strain1	ERR046957
walker2013_P000039_lineage4.1.1.1_strain1	ERR046950
walker2013_P000040_lineage4.1.1.1_strain1	ERR039328
walker2013_P000041_lineage4.1.1.1_strain1	ERR046924
walker2013_P000046_lineage4.1.1.1_strain1	ERR046745
walker2013_P000050_lineage4.1.1.1_strain1	ERR046737
walker2013_P000057_lineage4.1.1.1_strain1	ERR046960
walker2013_P000060_lineage4.1.1.1_strain1	ERR046741
walker2013_P000067_lineage4.1.1.1_strain1	ERR046744
walker2013_P000070_lineage4.1.2.1_strain1	ERR046959
walker2013_P000077_lineage4.1.1.1_strain1	ERR046975
walker2013_P000090_lineage4.1.1.1_strain1	ERR046734
walker2013_P000096_lineage4.1.1.3.1_strain1	ERR046851
walker2013_P000105_lineage4.1.1.1_strain1	ERR046971
walker2013_P000113_lineage4.1.1.1_strain1	ERR039329
walker2013_P000114_lineage4.1.1_strain1	ERR038277
walker2013_P000115_lineage4.1.1.3.1_strain1	ERR038275
walker2013_P000119_lineage4.1.1.1_strain1	ERR046841
walker2013_P000129_lineage4.1.2.1_strain1	ERR046958
walker2013_P000134_lineage4.1.1.3.1_strain1	ERR038281
walker2013_P000135_lineage4.1.1.3.1_strain1	ERR038279
